Descripción del servicio,ID de servicio,Costo ($),Descuentos ($),Promociones y otros productos ($),Subtotal sin redondear ($),Subtotal ($),Cambio porcentual en el subtotal en comparación con el período anterior,start_date,end_date
Cloud Run,152E-C115-5142,2.49,-0.45,0.0,2.034782,2.03,,2025-06-09,2025-06-15
Notebooks,D73B-5EEA-8215,0.95,0.0,0.0,0.954691,0.95,0%,2025-06-09,2025-06-15
Cloud Storage,95FF-2EF5-5EA1,0.74,0.0,0.0,0.736259,0.74,-1%,2025-06-09,2025-06-15
Artifact Registry,149C-F9EC-3994,0.38,0.0,0.0,0.37671,0.38,3%,2025-06-09,2025-06-15
Vertex AI,C7E2-9256-1C43,0.09,0.0,0.0,0.086785,0.09,0%,2025-06-09,2025-06-15
Cloud Composer,1992-3666-B975,81.57,0.0,0.0,81.572791,81.57,0%,2025-06-16,2025-06-22
Compute Engine,6F81-5844-456A,61.73,0.0,0.0,61.730249,61.73,0%,2025-06-16,2025-06-22
Kubernetes Engine,CCD8-9BF1-090E,15.62,0.0,0.0,15.623913,15.62,0%,2025-06-16,2025-06-22
Cloud Monitoring,58CD-E7C3-72CA,8.48,0.0,0.0,8.483892,8.48,0%,2025-06-16,2025-06-22
Networking,E505-1604-58F8,7.35,-1.4,0.0,5.946046,5.95,0%,2025-06-16,2025-06-22
BigQuery,24E6-581D-38E5,5.31,0.0,0.0,5.312536,5.31,-31%,2025-06-16,2025-06-22
Cloud Run,152E-C115-5142,2.49,0.0,0.0,2.494258,2.49,23%,2025-06-16,2025-06-22
Notebooks,D73B-5EEA-8215,0.95,0.0,0.0,0.954679,0.95,0%,2025-06-16,2025-06-22
Cloud Storage,95FF-2EF5-5EA1,0.78,0.0,0.0,0.776665,0.78,5%,2025-06-16,2025-06-22
Artifact Registry,149C-F9EC-3994,0.38,0.0,0.0,0.379967,0.38,0%,2025-06-16,2025-06-22
Vertex AI,C7E2-9256-1C43,0.09,0.0,0.0,0.086777,0.09,0%,2025-06-16,2025-06-22
Cloud Composer,1992-3666-B975,81.61,0.0,0.0,81.609897,81.61,0%,2025-06-23,2025-06-29
Compute Engine,6F81-5844-456A,61.64,0.0,0.0,61.644502,61.64,0%,2025-06-23,2025-06-29
Kubernetes Engine,CCD8-9BF1-090E,15.62,0.0,0.0,15.62389,15.62,0%,2025-06-23,2025-06-29
Cloud Monitoring,58CD-E7C3-72CA,8.5,0.0,0.0,8.499291,8.5,0%,2025-06-23,2025-06-29
Networking,E505-1604-58F8,7.39,-1.45,0.0,5.942227,5.94,0%,2025-06-23,2025-06-29
BigQuery,24E6-581D-38E5,4.52,0.0,0.0,4.52219,4.52,-15%,2025-06-23,2025-06-29
Cloud Run,152E-C115-5142,2.5,0.0,0.0,2.50004,2.5,0%,2025-06-23,2025-06-29
Notebooks,D73B-5EEA-8215,0.95,0.0,0.0,0.954687,0.95,0%,2025-06-23,2025-06-29
Cloud Storage,95FF-2EF5-5EA1,0.78,0.0,0.0,0.784657,0.78,0%,2025-06-23,2025-06-29
Artifact Registry,149C-F9EC-3994,0.38,0.0,0.0,0.379967,0.38,0%,2025-06-23,2025-06-29
Vertex AI,C7E2-9256-1C43,0.09,0.0,0.0,0.08678,0.09,0%,2025-06-23,2025-06-29
Cloud Composer,1992-3666-B975,81.62,0.0,0.0,81.62126,81.62,0%,2025-06-30,2025-07-06
Compute Engine,6F81-5844-456A,60.77,0.0,0.0,60.771738,60.77,-1%,2025-06-30,2025-07-06
Kubernetes Engine,CCD8-9BF1-090E,15.62,0.0,0.0,15.623915,15.62,0%,2025-06-30,2025-07-06
Cloud Monitoring,58CD-E7C3-72CA,6.43,0.0,0.0,6.430563,6.43,-24%,2025-06-30,2025-07-06
Networking,E505-1604-58F8,7.89,-1.95,0.0,5.939257,5.94,0%,2025-06-30,2025-07-06
Notebooks,D73B-5EEA-8215,0.93,0.0,0.0,0.928308,0.93,-2%,2025-06-30,2025-07-06
Cloud Storage,95FF-2EF5-5EA1,0.76,0.0,0.0,0.755201,0.76,-3%,2025-06-30,2025-07-06
Artifact Registry,149C-F9EC-3994,0.37,0.0,0.0,0.373702,0.37,-3%,2025-06-30,2025-07-06
Cloud Run,152E-C115-5142,2.52,-2.17,0.0,0.353837,0.35,-86%,2025-06-30,2025-07-06
BigQuery,24E6-581D-38E5,0.15,0.0,0.0,0.150689,0.15,-97%,2025-06-30,2025-07-06
Vertex AI,C7E2-9256-1C43,0.08,0.0,0.0,0.084361,0.08,-11%,2025-06-30,2025-07-06
Cloud Composer,1992-3666-B975,36.11,0.0,0.0,36.111015,36.11,-23%,2025-07-07,2025-07-13
Compute Engine,6F81-5844-456A,27.22,0.0,0.0,27.21566,27.22,-22%,2025-07-07,2025-07-13
Kubernetes Engine,CCD8-9BF1-090E,6.98,0.0,0.0,6.977805,6.98,-22%,2025-07-07,2025-07-13
Cloud Monitoring,58CD-E7C3-72CA,3.9,0.0,0.0,3.900456,3.9,-21%,2025-07-07,2025-07-13
Networking,E505-1604-58F8,3.57,-0.96,0.0,2.612262,2.61,-23%,2025-07-07,2025-07-13
BigQuery,24E6-581D-38E5,0.75,0.0,0.0,0.750069,0.75,Nuevo,2025-07-07,2025-07-13
Notebooks,D73B-5EEA-8215,0.42,0.0,0.0,0.41813,0.42,-21%,2025-07-07,2025-07-13
Cloud Storage,95FF-2EF5-5EA1,0.3,0.0,0.0,0.300592,0.3,-32%,2025-07-07,2025-07-13
Artifact Registry,149C-F9EC-3994,0.17,0.0,0.0,0.167765,0.17,-19%,2025-07-07,2025-07-13
Cloud Run,152E-C115-5142,1.19,-1.08,0.0,0.110006,0.11,Nuevo,2025-07-07,2025-07-13
Vertex AI,C7E2-9256-1C43,0.04,0.0,0.0,0.037997,0.04,-20%,2025-07-07,2025-07-13
